ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
85008,"$40,000","$1,000","$100,000",$344,"$1,451",$75
85008,"$40,000","$1,000","$300,000",$372,"$1,581",$83
85008,"$60,000",$500,"$100,000",$486,"$2,243",$94
85008,"$60,000",$500,"$300,000",$517,"$2,406",$103
85008,"$60,000","$1,000","$100,000",$443,"$2,066",$90
85008,"$60,000","$1,000","$300,000",$474,"$2,229",$98
85009,"$20,000",$500,"$100,000",$272,$879,$62
85009,"$20,000",$500,"$300,000",$298,"$1,001",$70
85009,"$20,000","$1,000","$100,000",$246,$803,$58
85009,"$20,000","$1,000","$300,000",$272,$922,$66
85009,"$40,000",$500,"$100,000",$367,"$1,256",$79
85009,"$40,000",$500,"$300,000",$395,"$1,386",$87
85009,"$40,000","$1,000","$100,000",$334,"$1,155",$75
85009,"$40,000","$1,000","$300,000",$362,"$1,283",$83
85009,"$60,000",$500,"$100,000",$470,"$1,753",$94
85009,"$60,000",$500,"$300,000",$501,"$1,916",$103
85009,"$60,000","$1,000","$100,000",$428,"$1,628",$90
85009,"$60,000","$1,000","$300,000",$459,"$1,780",$98
85010,"$20,000",$500,"$100,000",$290,"$1,591",$62
85010,"$20,000",$500,"$300,000",$318,"$1,767",$70
85010,"$20,000","$1,000","$100,000",$263,"$1,436",$58
85010,"$20,000","$1,000","$300,000",$290,"$1,612",$66
85010,"$40,000",$500,"$100,000",$393,"$2,335",$79
85010,"$40,000",$500,"$300,000",$422,"$2,522",$87
85010,"$40,000","$1,000","$100,000",$357,"$2,133",$75
85010,"$40,000","$1,000","$300,000",$387,"$2,321",$83
85010,"$60,000",$500,"$100,000",$508,"$3,289",$94
85010,"$60,000",$500,"$300,000",$541,"$3,525",$103
85010,"$60,000","$1,000","$100,000",$464,"$3,023",$90
85010,"$60,000","$1,000","$300,000",$497,"$3,258",$98
85011,"$20,000",$500,"$100,000",$290,"$1,591",$62
85011,"$20,000",$500,"$300,000",$318,"$1,767",$70
85011,"$20,000","$1,000","$100,000",$263,"$1,436",$58
85011,"$20,000","$1,000","$300,000",$290,"$1,612",$66
85011,"$40,000",$500,"$100,000",$393,"$2,335",$79
85011,"$40,000",$500,"$300,000",$422,"$2,522",$87
85011,"$40,000","$1,000","$100,000",$357,"$2,133",$75
85011,"$40,000","$1,000","$300,000",$387,"$2,321",$83
85011,"$60,000",$500,"$100,000",$508,"$3,289",$94
85011,"$60,000",$500,"$300,000",$541,"$3,525",$103
85011,"$60,000","$1,000","$100,000",$464,"$3,023",$90
85011,"$60,000","$1,000","$300,000",$497,"$3,258",$98
85012,"$20,000",$500,"$100,000",$273,$939,$62
85012,"$20,000",$500,"$300,000",$299,"$1,061",$70
85012,"$20,000","$1,000","$100,000",$247,$855,$58
85012,"$20,000","$1,000","$300,000",$273,$977,$66
85012,"$40,000",$500,"$100,000",$370,"$1,363",$79
85012,"$40,000",$500,"$300,000",$398,"$1,493",$87
85012,"$40,000","$1,000","$100,000",$336,"$1,253",$75
85012,"$40,000","$1,000","$300,000",$364,"$1,383",$83
85012,"$60,000",$500,"$100,000",$474,"$1,922",$94
85012,"$60,000",$500,"$300,000",$505,"$2,085",$103
85012,"$60,000","$1,000","$100,000",$432,"$1,778",$90
85012,"$60,000","$1,000","$300,000",$463,"$1,941",$98
85013,"$20,000",$500,"$100,000",$276,"$1,044",$62
85013,"$20,000",$500,"$300,000",$302,"$1,178",$70
85013,"$20,000","$1,000","$100,000",$250,$948,$58
85013,"$20,000","$1,000","$300,000",$276,"$1,081",$66
85013,"$40,000",$500,"$100,000",$373,"$1,506",$79
85013,"$40,000",$500,"$300,000",$402,"$1,648",$87
85013,"$40,000","$1,000","$100,000",$339,"$1,381",$75
85013,"$40,000","$1,000","$300,000",$368,"$1,523",$83
85013,"$60,000",$500,"$100,000",$479,"$2,110",$94
85013,"$60,000",$500,"$300,000",$511,"$2,288",$103
85013,"$60,000","$1,000","$100,000",$437,"$1,945",$90
85013,"$60,000","$1,000","$300,000",$468,"$2,123",$98
85014,"$20,000",$500,"$100,000",$274,$978,$62
85014,"$20,000",$500,"$300,000",$300,"$1,100",$70
85014,"$20,000","$1,000","$100,000",$248,$886,$58
85014,"$20,000","$1,000","$300,000",$274,"$1,008",$66
85014,"$40,000",$500,"$100,000",$371,"$1,417",$79
85014,"$40,000",$500,"$300,000",$399,"$1,547",$87
85014,"$40,000","$1,000","$100,000",$337,"$1,296",$75
85014,"$40,000","$1,000","$300,000",$365,"$1,426",$83
85014,"$60,000",$500,"$100,000",$477,"$1,989",$94
85014,"$60,000",$500,"$300,000",$507,"$2,152",$103
85014,"$60,000","$1,000","$100,000",$434,"$1,828",$90
85014,"$60,000","$1,000","$300,000",$465,"$1,992",$98
85015,"$20,000",$500,"$100,000",$276,"$1,002",$62
85015,"$20,000",$500,"$300,000",$302,"$1,134",$70
85015,"$20,000","$1,000","$100,000",$249,$912,$58
85015,"$20,000","$1,000","$300,000",$276,"$1,045",$66
85015,"$40,000",$500,"$100,000",$373,"$1,445",$79
85015,"$40,000",$500,"$300,000",$402,"$1,586",$87
85015,"$40,000","$1,000","$100,000",$339,"$1,329",$75
85015,"$40,000","$1,000","$300,000",$367,"$1,470",$83
85015,"$60,000",$500,"$100,000",$479,"$2,029",$94
85015,"$60,000",$500,"$300,000",$510,"$2,206",$103
85015,"$60,000","$1,000","$100,000",$436,"$1,875",$90
85015,"$60,000","$1,000","$300,000",$468,"$2,052",$98
85016,"$20,000",$500,"$100,000",$275,"$1,000",$62
85016,"$20,000",$500,"$300,000",$301,"$1,123",$70
85016,"$20,000","$1,000","$100,000",$249,$907,$58
85016,"$20,000","$1,000","$300,000",$275,"$1,031",$66
85016,"$40,000",$500,"$100,000",$373,"$1,450",$79
85016,"$40,000",$500,"$300,000",$401,"$1,582",$87
85016,"$40,000","$1,000","$100,000",$338,"$1,330",$75
85016,"$40,000","$1,000","$300,000",$367,"$1,462",$83
85016,"$60,000",$500,"$100,000",$479,"$2,037",$94
85016,"$60,000",$500,"$300,000",$509,"$2,203",$103
85016,"$60,000","$1,000","$100,000",$436,"$1,879",$90
85016,"$60,000","$1,000","$300,000",$467,"$2,045",$98
85017,"$20,000",$500,"$100,000",$273,$916,$62
85017,"$20,000",$500,"$300,000",$300,"$1,043",$70
85017,"$20,000","$1,000","$100,000",$248,$834,$58
85017,"$20,000","$1,000","$300,000",$274,$960,$66
85017,"$40,000",$500,"$100,000",$370,"$1,313",$79
85017,"$40,000",$500,"$300,000",$398,"$1,448",$87
85017,"$40,000","$1,000","$100,000",$336,"$1,206",$75
85017,"$40,000","$1,000","$300,000",$364,"$1,341",$83
85017,"$60,000",$500,"$100,000",$474,"$1,839",$94
85017,"$60,000",$500,"$300,000",$505,"$2,008",$103
85017,"$60,000","$1,000","$100,000",$432,"$1,698",$90
85017,"$60,000","$1,000","$300,000",$463,"$1,866",$98
85018,"$20,000",$500,"$100,000",$275,"$1,065",$62
85018,"$20,000",$500,"$300,000",$301,"$1,189",$70
85018,"$20,000","$1,000","$100,000",$249,$961,$58
85018,"$20,000","$1,000","$300,000",$275,"$1,085",$66
85018,"$40,000",$500,"$100,000",$373,"$1,540",$79
85018,"$40,000",$500,"$300,000",$400,"$1,672",$87
85018,"$40,000","$1,000","$100,000",$338,"$1,406",$75
85018,"$40,000","$1,000","$300,000",$366,"$1,538",$83
85018,"$60,000",$500,"$100,000",$477,"$2,151",$94
85018,"$60,000",$500,"$300,000",$508,"$2,316",$103
85018,"$60,000","$1,000","$100,000",$435,"$1,974",$90
85018,"$60,000","$1,000","$300,000",$465,"$2,139",$98
85019,"$20,000",$500,"$100,000",$275,$961,$62
85019,"$20,000",$500,"$300,000",$301,"$1,086",$70
85019,"$20,000","$1,000","$100,000",$249,$875,$58
85019,"$20,000","$1,000","$300,000",$275,"$1,000",$66
85019,"$40,000",$500,"$100,000",$372,"$1,393",$79
85019,"$40,000",$500,"$300,000",$400,"$1,525",$87
85019,"$40,000","$1,000","$100,000",$338,"$1,281",$75
85019,"$40,000","$1,000","$300,000",$366,"$1,414",$83
85019,"$60,000",$500,"$100,000",$478,"$1,960",$94
85019,"$60,000",$500,"$300,000",$508,"$2,126",$103
85019,"$60,000","$1,000","$100,000",$435,"$1,812",$90
85019,"$60,000","$1,000","$300,000",$466,"$1,978",$98
85020,"$20,000",$500,"$100,000",$269,$896,$62
85020,"$20,000",$500,"$300,000",$295,"$1,017",$70
85020,"$20,000","$1,000","$100,000",$244,$817,$58
85020,"$20,000","$1,000","$300,000",$270,$939,$66
85020,"$40,000",$500,"$100,000",$364,"$1,293",$79
85020,"$40,000",$500,"$300,000",$392,"$1,423",$87
85020,"$40,000","$1,000","$100,000",$330,"$1,192",$75
85020,"$40,000","$1,000","$300,000",$358,"$1,322",$83
85020,"$60,000",$500,"$100,000",$466,"$1,820",$94
85020,"$60,000",$500,"$300,000",$497,"$1,984",$103
85020,"$60,000","$1,000","$100,000",$425,"$1,686",$90
85020,"$60,000","$1,000","$300,000",$456,"$1,849",$98
85021,"$20,000",$500,"$100,000",$271,$945,$62
85021,"$20,000",$500,"$300,000",$297,"$1,020",$70
85021,"$20,000","$1,000","$100,000",$246,$870,$58
85021,"$20,000","$1,000","$300,000",$272,$943,$66
85021,"$40,000",$500,"$100,000",$367,"$1,327",$79
85021,"$40,000",$500,"$300,000",$395,"$1,433",$87
85021,"$40,000","$1,000","$100,000",$334,"$1,252",$75
85021,"$40,000","$1,000","$300,000",$362,"$1,333",$83
85021,"$60,000",$500,"$100,000",$471,"$1,840",$94
85021,"$60,000",$500,"$300,000",$502,"$2,003",$103
85021,"$60,000","$1,000","$100,000",$430,"$1,761",$90
85021,"$60,000","$1,000","$300,000",$460,"$1,870",$98
85022,"$20,000",$500,"$100,000",$276,"$1,011",$62
85022,"$20,000",$500,"$300,000",$302,"$1,132",$70
85022,"$20,000","$1,000","$100,000",$249,$919,$58
85022,"$20,000","$1,000","$300,000",$275,"$1,041",$66
85022,"$40,000",$500,"$100,000",$374,"$1,495",$79
85022,"$40,000",$500,"$300,000",$402,"$1,625",$87
85022,"$40,000","$1,000","$100,000",$339,"$1,374",$75
85022,"$40,000","$1,000","$300,000",$367,"$1,504",$83
85022,"$60,000",$500,"$100,000",$480,"$2,125",$94
85022,"$60,000",$500,"$300,000",$511,"$2,289",$103
85022,"$60,000","$1,000","$100,000",$438,"$1,964",$90
85022,"$60,000","$1,000","$300,000",$468,"$2,127",$98
85023,"$20,000",$500,"$100,000",$284,"$1,265",$62
85023,"$20,000",$500,"$300,000",$311,"$1,393",$70
85023,"$20,000","$1,000","$100,000",$257,"$1,128",$58
85023,"$20,000","$1,000","$300,000",$283,"$1,256",$66
85023,"$40,000",$500,"$100,000",$386,"$1,817",$79
85023,"$40,000",$500,"$300,000",$414,"$1,954",$87
85023,"$40,000","$1,000","$100,000",$349,"$1,642",$75
85023,"$40,000","$1,000","$300,000",$377,"$1,778",$83
85023,"$60,000",$500,"$100,000",$495,"$2,508",$94
85023,"$60,000",$500,"$300,000",$526,"$2,679",$103
85023,"$60,000","$1,000","$100,000",$450,"$2,277",$90
85023,"$60,000","$1,000","$300,000",$481,"$2,448",$98
85024,"$20,000",$500,"$100,000",$271,$913,$62
85024,"$20,000",$500,"$300,000",$297,"$1,037",$70
85024,"$20,000","$1,000","$100,000",$245,$832,$58
85024,"$20,000","$1,000","$300,000",$271,$956,$66
85024,"$40,000",$500,"$100,000",$366,"$1,315",$79
85024,"$40,000",$500,"$300,000",$394,"$1,447",$87
85024,"$40,000","$1,000","$100,000",$332,"$1,210",$75
85024,"$40,000","$1,000","$300,000",$360,"$1,342",$83
85024,"$60,000",$500,"$100,000",$469,"$1,847",$94
85024,"$60,000",$500,"$300,000",$500,"$2,012",$103
85024,"$60,000","$1,000","$100,000",$427,"$1,708",$90
85024,"$60,000","$1,000","$300,000",$458,"$1,873",$98
85025,"$20,000",$500,"$100,000",$288,"$1,591",$62
85025,"$20,000",$500,"$300,000",$315,"$1,767",$70
85025,"$20,000","$1,000","$100,000",$260,"$1,436",$58
85025,"$20,000","$1,000","$300,000",$288,"$1,612",$66
85025,"$40,000",$500,"$100,000",$390,"$2,335",$79
85025,"$40,000",$500,"$300,000",$420,"$2,522",$87
85025,"$40,000","$1,000","$100,000",$354,"$2,133",$75
85025,"$40,000","$1,000","$300,000",$384,"$2,321",$83
85025,"$60,000",$500,"$100,000",$505,"$3,289",$94
85025,"$60,000",$500,"$300,000",$538,"$3,525",$103
85025,"$60,000","$1,000","$100,000",$461,"$3,023",$90
85025,"$60,000","$1,000","$300,000",$494,"$3,258",$98
85026,"$20,000",$500,"$100,000",$286,"$1,591",$62
85026,"$20,000",$500,"$300,000",$314,"$1,767",$70
85026,"$20,000","$1,000","$100,000",$259,"$1,436",$58
85026,"$20,000","$1,000","$300,000",$287,"$1,612",$66
85026,"$40,000",$500,"$100,000",$388,"$2,335",$79
85026,"$40,000",$500,"$300,000",$418,"$2,522",$87
85026,"$40,000","$1,000","$100,000",$353,"$2,133",$75
85026,"$40,000","$1,000","$300,000",$382,"$2,321",$83
85026,"$60,000",$500,"$100,000",$503,"$3,289",$94
85026,"$60,000",$500,"$300,000",$535,"$3,525",$103
85026,"$60,000","$1,000","$100,000",$459,"$3,023",$90
85026,"$60,000","$1,000","$300,000",$492,"$3,258",$98
85027,"$20,000",$500,"$100,000",$276,$968,$65
85027,"$20,000",$500,"$300,000",$302,"$1,091",$73
85027,"$20,000","$1,000","$100,000",$250,$878,$60
85027,"$20,000","$1,000","$300,000",$276,"$1,001",$68
85027,"$40,000",$500,"$100,000",$374,"$1,396",$83
85027,"$40,000",$500,"$300,000",$402,"$1,527",$91
85027,"$40,000","$1,000","$100,000",$339,"$1,280",$78
85027,"$40,000","$1,000","$300,000",$367,"$1,411",$86
85027,"$60,000",$500,"$100,000",$479,"$1,955",$98
85027,"$60,000",$500,"$300,000",$510,"$2,119",$107
85027,"$60,000","$1,000","$100,000",$436,"$1,801",$94
85027,"$60,000","$1,000","$300,000",$467,"$1,965",$102
85028,"$20,000",$500,"$100,000",$273,$928,$62
85028,"$20,000",$500,"$300,000",$299,"$1,055",$70
85028,"$20,000","$1,000","$100,000",$247,$847,$58
85028,"$20,000","$1,000","$300,000",$273,$974,$66
85028,"$40,000",$500,"$100,000",$368,"$1,341",$79
85028,"$40,000",$500,"$300,000",$396,"$1,475",$87
85028,"$40,000","$1,000","$100,000",$334,"$1,236",$75
85028,"$40,000","$1,000","$300,000",$362,"$1,370",$83
85028,"$60,000",$500,"$100,000",$472,"$1,887",$94
85028,"$60,000",$500,"$300,000",$503,"$2,056",$103
85028,"$60,000","$1,000","$100,000",$430,"$1,748",$90
85028,"$60,000","$1,000","$300,000",$461,"$1,917",$98
85029,"$20,000",$500,"$100,000",$282,"$1,145",$62
85029,"$20,000",$500,"$300,000",$308,"$1,271",$70
85029,"$20,000","$1,000","$100,000",$255,"$1,032",$58
85029,"$20,000","$1,000","$300,000",$281,"$1,158",$66
85029,"$40,000",$500,"$100,000",$383,"$1,674",$79
85029,"$40,000",$500,"$300,000",$411,"$1,808",$87
85029,"$40,000","$1,000","$100,000",$347,"$1,527",$75
85029,"$40,000","$1,000","$300,000",$375,"$1,662",$83
85029,"$60,000",$500,"$100,000",$491,"$2,350",$94
85029,"$60,000",$500,"$300,000",$522,"$2,519",$103
85029,"$60,000","$1,000","$100,000",$447,"$2,156",$90
85029,"$60,000","$1,000","$300,000",$478,"$2,325",$98
85030,"$20,000",$500,"$100,000",$290,"$1,591",$62
85030,"$20,000",$500,"$300,000",$318,"$1,767",$70
85030,"$20,000","$1,000","$100,000",$263,"$1,436",$58
85030,"$20,000","$1,000","$300,000",$290,"$1,612",$66
85030,"$40,000",$500,"$100,000",$393,"$2,335",$79
85030,"$40,000",$500,"$300,000",$422,"$2,522",$87
85030,"$40,000","$1,000","$100,000",$357,"$2,133",$75
85030,"$40,000","$1,000","$300,000",$387,"$2,321",$83
85030,"$60,000",$500,"$100,000",$508,"$3,289",$94
85030,"$60,000",$500,"$300,000",$541,"$3,525",$103
85030,"$60,000","$1,000","$100,000",$464,"$3,023",$90
85030,"$60,000","$1,000","$300,000",$497,"$3,258",$98
85031,"$20,000",$500,"$100,000",$279,"$1,102",$62
85031,"$20,000",$500,"$300,000",$305,"$1,224",$70
85031,"$20,000","$1,000","$100,000",$253,$993,$58
85031,"$20,000","$1,000","$300,000",$279,"$1,115",$66
85031,"$40,000",$500,"$100,000",$379,"$1,601",$79
85031,"$40,000",$500,"$300,000",$407,"$1,731",$87
85031,"$40,000","$1,000","$100,000",$344,"$1,461",$75
85031,"$40,000","$1,000","$300,000",$372,"$1,591",$83
85031,"$60,000",$500,"$100,000",$487,"$2,240",$94
